source_image,target_image
Dataset/data/Image1.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image2.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image3.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image4.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image5.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image6.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image7.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image8.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image9.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image10.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image11.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image12.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image13.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image14.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image15.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image16.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image17.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image18.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image19.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image20.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image21.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image22.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image23.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image24.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image25.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image26.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image27.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image28.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image29.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image30.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image31.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image32.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image33.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image34.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image35.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image36.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image37.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image38.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image39.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image40.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image41.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image42.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image43.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image44.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image45.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image46.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image47.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image48.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image49.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image50.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image51.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image52.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image53.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image54.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image55.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image56.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image57.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image58.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image59.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image60.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image61.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image62.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image63.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image64.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image65.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image66.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image67.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image68.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image69.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image70.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image71.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image72.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image73.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image74.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image75.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image76.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image77.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image78.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image79.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image80.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image81.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image82.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image83.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image84.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image85.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image86.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image87.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image88.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image89.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image90.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image91.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image92.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image93.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image94.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image95.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image96.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image97.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image98.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image99.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image100.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image101.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image102.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image103.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image104.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image105.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image106.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image107.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image108.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image109.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image110.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image111.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image112.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image113.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image114.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image115.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image116.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image117.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image118.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image119.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image120.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image121.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image122.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image123.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image124.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image125.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image126.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image127.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image128.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image129.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image130.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image131.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image132.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image133.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image134.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image135.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image136.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image137.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image138.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image139.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image140.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image141.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image142.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image143.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image144.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image145.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image146.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image147.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image148.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image149.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image150.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image151.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image152.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image153.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image154.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image155.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image156.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image157.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image158.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image159.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image160.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image161.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image162.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image163.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image164.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image165.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image166.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image167.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image168.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image169.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image170.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image171.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image172.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image173.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image174.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image175.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image176.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image177.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image178.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image179.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image180.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image181.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image182.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image183.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image184.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image185.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image186.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image187.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image188.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image189.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image190.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image191.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image192.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image193.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image194.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image195.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image196.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image197.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image198.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image199.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image200.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image201.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image202.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image203.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image204.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image205.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image206.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image207.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image208.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image209.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image210.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image211.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image212.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image213.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image214.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image215.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image216.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image217.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image218.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image219.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image220.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image221.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image222.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image223.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image224.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image225.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image226.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image227.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image228.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image229.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image230.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image231.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image232.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image233.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image234.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image235.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image236.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image237.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image238.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image239.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image240.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image241.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image242.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image243.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image244.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image245.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image246.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image247.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image248.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image249.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image250.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image251.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image252.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image253.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image254.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image255.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image256.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image257.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image258.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image259.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image260.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image261.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image262.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image263.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image264.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image265.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image266.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image267.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image268.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image269.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image270.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image271.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image272.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image273.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image274.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image275.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image276.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image277.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image278.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image279.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image280.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image281.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image282.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image283.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image284.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image285.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image286.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image287.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image288.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image289.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image290.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image291.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image292.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image293.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image294.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image295.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image296.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image297.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image298.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image299.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image300.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image301.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image302.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image303.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image304.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image305.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image306.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image307.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image308.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image309.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image310.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image311.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image312.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image313.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image314.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image315.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image316.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image317.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image318.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image319.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image320.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image321.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image322.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image323.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image324.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image325.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image326.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image327.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image328.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image329.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image330.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image331.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image332.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image333.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image334.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image335.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image336.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image337.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image338.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image339.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image340.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image341.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image342.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image343.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image344.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image345.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image346.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image347.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image348.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image349.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image350.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image351.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image352.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image353.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image354.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image355.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image356.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image357.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image358.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image359.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image360.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image361.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image362.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image363.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image364.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image365.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image366.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image367.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image368.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image369.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image370.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image371.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image372.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image373.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image374.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image375.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image376.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image377.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image378.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image379.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image380.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image381.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image382.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image383.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image384.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image385.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image386.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image387.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image388.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image389.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image390.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image391.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image392.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image393.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image394.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image395.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image396.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image397.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image398.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image399.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image400.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image401.jpg,Dataset/orthomosaic/nust.tif
Dataset/data/Image402.jpg,Dataset/orthomosaic/nust.tif
